Timestamp,Model_Type,Epochs,MAE (USD),RMSE (USD),MAPE (%),R2 Score,Direction_Accuracy (%),Notes
2026-02-04 09:40:24,LSTM (Neural Net),50,1586.17,2138.57,1.61,0.9652,48.27,Тунингован модел с Huber Loss
2026-02-04 09:40:24,Linear Regression,0,1614.12,2169.29,1.64,0.9642,46.88,Baseline модел
